Rozmiar,Nr,Czas_us
10,1,1.537
10,2,1.117
10,3,0.978
10,4,0.908
10,5,0.978
100,1,1.187
100,2,1.188
100,3,1.188
100,4,0.978
100,5,1.047
1000,1,2.026
1000,2,1.746
1000,3,1.537
1000,4,2.165
1000,5,2.304
5000,1,2.235
5000,2,2.026
5000,3,1.955
5000,4,2.165
5000,5,2.375
10000,1,2.025
10000,2,1.816
10000,3,1.956
10000,4,1.815
10000,5,1.886
15000,1,1.537
15000,2,1.816
15000,3,1.746
15000,4,1.607
15000,5,2.165
25000,1,2.305
25000,2,2.165
25000,3,2.514
25000,4,2.095
25000,5,2.166
33000,1,2.445
33000,2,2.514
33000,3,2.305
33000,4,1.816
33000,5,2.654
50000,1,2.654
50000,2,2.445
50000,3,2.654
50000,4,1.886
50000,5,2.375
65000,1,2.584
65000,2,2.584
65000,3,2.234
65000,4,2.864
65000,5,2.794
80000,1,2.933
80000,2,2.654
80000,3,2.724
80000,4,2.723
80000,5,2.724
100000,1,2.514
100000,2,2.933
100000,3,2.374
100000,4,2.793
100000,5,2.584
150000,1,2.863
150000,2,3.073
150000,3,3.282
150000,4,2.793
150000,5,2.514
250000,1,3.073
250000,2,2.654
250000,3,2.934
250000,4,2.654
250000,5,3.562
500000,1,3.213
500000,2,3.492
500000,3,2.864
500000,4,3.213
500000,5,3.213
750000,1,2.933
750000,2,3.073
750000,3,3.493
750000,4,3.073
750000,5,3.701
1000000,1,3.282
1000000,2,3.213
1000000,3,3.702
1000000,4,3.213
1000000,5,2.864
1500000,1,3.422
1500000,2,4.33
1500000,3,2.654
1500000,4,2.724
1500000,5,2.933
