Rozmiar,Nr,Czas_us
10,1,1.188
10,2,1.048
10,3,1.118
10,4,0.978
10,5,0.978
100,1,0.978
100,2,1.047
100,3,0.978
100,4,0.908
100,5,0.908
1000,1,0.977
1000,2,0.908
1000,3,0.838
1000,4,0.978
1000,5,1.048
5000,1,0.977
5000,2,0.978
5000,3,0.978
5000,4,0.978
5000,5,1.047
10000,1,1.047
10000,2,1.118
10000,3,1.048
10000,4,1.048
10000,5,1.048
15000,1,1.048
15000,2,1.047
15000,3,1.047
15000,4,1.187
15000,5,1.117
25000,1,1.048
25000,2,1.048
25000,3,1.117
25000,4,1.048
25000,5,0.978
33000,1,1.257
33000,2,1.188
33000,3,1.327
33000,4,1.187
33000,5,1.118
50000,1,1.257
50000,2,1.258
50000,3,1.397
50000,4,1.467
50000,5,1.327
65000,1,1.397
65000,2,1.536
65000,3,1.396
65000,4,1.607
65000,5,1.467
80000,1,1.466
80000,2,1.606
80000,3,1.466
80000,4,1.676
80000,5,1.606
100000,1,1.607
100000,2,1.536
100000,3,1.536
100000,4,1.816
100000,5,1.537
150000,1,1.537
150000,2,7.194
150000,3,1.885
150000,4,1.607
150000,5,2.584
250000,1,2.165
250000,2,1.816
250000,3,2.096
250000,4,2.654
250000,5,2.165
500000,1,2.584
500000,2,2.585
500000,3,4.051
500000,4,4.12
500000,5,3.143
750000,1,4.47
750000,2,3.143
750000,3,5.797
750000,4,4.331
750000,5,3.632
1000000,1,3.422
1000000,2,7.752
1000000,3,7.054
1000000,4,3.981
1000000,5,4.33
1500000,1,5.308
1500000,2,4.54
1500000,3,6.425
1500000,4,4.679
1500000,5,6.844
