Rozmiar,Nr,Czas_us
10,1,4.539
10,2,3.701
10,3,3.422
10,4,3.283
10,5,3.492
100,1,49.589
100,2,50.427
100,3,49.518
100,4,48.96
100,5,54.337
1000,1,733.417
1000,2,738.654
1000,3,737.817
1000,4,738.864
1000,5,738.166
10000,1,9916.18
10000,2,9927.35
10000,3,9915.27
10000,4,9916.67
10000,5,9924.98
20000,1,21412.9
20000,2,21421.3
20000,3,21434.3
20000,4,21413.7
20000,5,21432.2
50000,1,59035.1
50000,2,59063.8
50000,3,59042.9
50000,4,59034.9
50000,5,59054.8
70000,1,85463.1
70000,2,85464.8
70000,3,85485.8
70000,4,85458.9
70000,5,85478.3
100000,1,126682
100000,2,126622
100000,3,126651
100000,4,126631
100000,5,126682
400000,1,574313
400000,2,574299
400000,3,574358
400000,4,574192
400000,5,574254
600000,1,889493
600000,2,889463
600000,3,889433
600000,4,889354
600000,5,889413
1000000,1,1.54582e+06
1000000,2,1.54589e+06
1000000,3,1.54673e+06
1000000,4,1.5459e+06
1000000,5,1.54632e+06
