Rozmiar,Nr,Czas_us
10,1,1.676
10,2,1.187
10,3,1.117
10,4,1.327
10,5,1.118
100,1,1.327
100,2,1.327
100,3,1.327
100,4,1.258
100,5,1.187
1000,1,1.537
1000,2,1.467
1000,3,1.537
1000,4,1.536
1000,5,1.676
5000,1,2.096
5000,2,2.096
5000,3,2.165
5000,4,2.025
5000,5,2.166
10000,1,2.375
10000,2,2.235
10000,3,2.375
10000,4,2.235
10000,5,2.305
15000,1,2.514
15000,2,2.514
15000,3,2.514
15000,4,2.514
15000,5,2.305
25000,1,2.444
25000,2,2.654
25000,3,2.793
25000,4,2.585
25000,5,2.724
33000,1,2.934
33000,2,2.794
33000,3,3.003
33000,4,2.933
33000,5,2.864
50000,1,3.143
50000,2,2.794
50000,3,3.282
50000,4,3.073
50000,5,3.143
65000,1,3.143
65000,2,3.212
65000,3,3.213
65000,4,3.073
65000,5,3.004
80000,1,3.702
80000,2,3.283
80000,3,3.143
80000,4,3.073
80000,5,3.143
100000,1,3.562
100000,2,3.212
100000,3,3.423
100000,4,3.702
100000,5,3.283
150000,1,3.492
150000,2,3.911
150000,3,4.68
150000,4,4.61
150000,5,4.4
