Rozmiar,Nr,Czas_us
10,1,30.172
10,2,13.061
10,3,10.616
10,4,10.685
10,5,10.546
100,1,130.466
100,2,139.126
100,3,114.961
100,4,124.041
100,5,128.161
1000,1,626.278
1000,2,618.875
1000,3,624.113
1000,4,623.695
1000,5,627.395
10000,1,7208.38
10000,2,7168.71
10000,3,7185.47
10000,4,7167.8
10000,5,7186.17
20000,1,15065.9
20000,2,15151.5
20000,3,15044.2
20000,4,15094.4
20000,5,15022.9
50000,1,39527.7
50000,2,39510.4
50000,3,39507
50000,4,39631.7
50000,5,39493.4
70000,1,56707.5
70000,2,56390.1
70000,3,56425.1
70000,4,56177.7
70000,5,56153.1
100000,1,81540
100000,2,81507.2
100000,3,81474.1
100000,4,81443.8
100000,5,81471.4
400000,1,349270
400000,2,348653
400000,3,348637
400000,4,348806
400000,5,348703
600000,1,533908
600000,2,532538
600000,3,532604
600000,4,532597
600000,5,532691
1000000,1,906314
1000000,2,905675
1000000,3,906137
1000000,4,905626
1000000,5,905896
