Rozmiar,Nr,Czas_us
10,1,3.562
10,2,2.794
10,3,2.584
10,4,2.654
10,5,3.492
100,1,41.906
100,2,41.207
100,3,42.115
100,4,39.461
100,5,41.766
1000,1,558.392
1000,2,547.705
1000,3,594.919
1000,4,569.217
1000,5,549.381
10000,1,7477.2
10000,2,7552.15
10000,3,7927.69
10000,4,7624.15
10000,5,7380.68
20000,1,16267.3
20000,2,15559.6
20000,3,15928.6
20000,4,16337
20000,5,15907.6
50000,1,42800.7
50000,2,43126.6
50000,3,44129.5
50000,4,42632.7
50000,5,43684.1
70000,1,65484
70000,2,62870.5
70000,3,63706.3
70000,4,66044.2
70000,5,65223.7
100000,1,91876.3
100000,2,96038.8
100000,3,95962.3
100000,4,92521.8
100000,5,95902.7
400000,1,520465
400000,2,532264
400000,3,520442
400000,4,520941
400000,5,518905
600000,1,919762
600000,2,919745
600000,3,907673
600000,4,925629
600000,5,938393
1000000,1,1.94397e+06
1000000,2,1.97998e+06
1000000,3,1.98691e+06
1000000,4,1.99227e+06
1000000,5,1.99374e+06
