Rozmiar,Nr,Czas_us
10,1,10.896
10,2,4.749
10,3,3.422
10,4,3.283
10,5,3.771
100,1,48.192
100,2,57.062
100,3,54.687
100,4,47.143
100,5,54.408
1000,1,675.797
1000,2,669.162
1000,3,664.203
1000,4,706.527
1000,5,675.447
5000,1,4079.16
5000,2,4057.92
5000,3,3832.05
5000,4,3737.63
5000,5,3900.22
10000,1,8955.08
10000,2,8501.17
10000,3,8731.16
10000,4,8227.39
10000,5,8480.57
15000,1,12588.6
15000,2,13657.4
15000,3,12682.9
15000,4,12834.3
15000,5,13258
25000,1,22144.6
25000,2,22543.6
25000,3,22523.3
25000,4,22613.3
25000,5,23464
40000,1,37576.2
40000,2,37550.8
40000,3,37812.2
40000,4,36732
40000,5,39494
50000,1,48608.2
50000,2,46757.9
50000,3,46479.5
50000,4,47618.6
50000,5,48990.7
