Rozmiar,Nr,Czas_us
10,1,4.051
10,2,3.422
10,3,3.422
10,4,3.492
10,5,3.492
100,1,233.693
100,2,227.826
100,3,227.058
100,4,235.719
100,5,232.785
1000,1,22158.3
1000,2,22092.2
1000,3,22138
1000,4,22099.2
1000,5,22243.5
5000,1,552312
5000,2,552076
5000,3,551936
5000,4,551983
5000,5,557456
10000,1,2.20782e+06
10000,2,2.20903e+06
10000,3,2.20889e+06
10000,4,2.20918e+06
10000,5,2.20886e+06
15000,1,4.97093e+06
15000,2,4.97715e+06
15000,3,5.00714e+06
15000,4,5.02538e+06
15000,5,4.98558e+06
25000,1,1.38285e+07
25000,2,1.38125e+07
25000,3,1.38098e+07
25000,4,1.38108e+07
25000,5,1.38097e+07
40000,1,3.53392e+07
40000,2,3.53263e+07
40000,3,3.53612e+07
40000,4,3.57267e+07
40000,5,3.58723e+07
50000,1,5.58056e+07
50000,2,5.64865e+07
50000,3,5.67318e+07
50000,4,5.53118e+07
50000,5,5.55552e+07
