Rozmiar,Nr,Czas_us
10,1,4.4
10,2,2.025
10,3,1.955
10,4,1.956
10,5,1.886
10,6,1.886
10,7,1.886
10,8,1.886
10,9,1.886
10,10,1.816
100,1,13.41
100,2,11.315
100,3,11.314
100,4,11.245
100,5,11.314
100,6,11.385
100,7,11.245
100,8,11.314
100,9,11.175
100,10,11.175
10000,1,1242.36
10000,2,1226.71
10000,3,1189.35
10000,4,1191.44
10000,5,1170.84
10000,6,1152.61
10000,7,1148.7
10000,8,1109.31
10000,9,1106.52
10000,10,1109.31
20000,1,2115.39
20000,2,2044.22
20000,3,2056.09
20000,4,1994.7
20000,5,1950.28
20000,6,1931.57
20000,7,1878.69
20000,8,1880.72
20000,9,1824.78
20000,10,1794.18
50000,1,4473.9
50000,2,4461.4
50000,3,4454.42
50000,4,4447.71
50000,5,4528.45
50000,6,4442.12
50000,7,4443.52
50000,8,4452.88
50000,9,4488.43
50000,10,4592.91
70000,1,6299.73
70000,2,6181.06
70000,3,6190.98
70000,4,6187.14
70000,5,6262.43
70000,6,6208.65
70000,7,6194.82
70000,8,6190.77
70000,9,6269.2
70000,10,6218.78
100000,1,8778.86
100000,2,8798.34
100000,3,8739.61
100000,4,8772.08
100000,5,8757.69
100000,6,8756.37
100000,7,8746.73
100000,8,8733.95
100000,9,8735.83
100000,10,8743.24
