Rozmiar,Nr,Czas_us
10,1,2.724
10,2,1.676
10,3,1.607
10,4,1.536
10,5,1.537
10,6,1.537
10,7,1.536
10,8,1.537
10,9,1.537
10,10,1.537
100,1,9.499
100,2,8.94
100,3,8.731
100,4,8.66
100,5,8.731
100,6,8.59
100,7,8.8
100,8,8.661
100,9,8.73
100,10,12.432
10000,1,840.694
10000,2,851.101
10000,3,840.275
10000,4,838.459
10000,5,836.155
10000,6,838.18
10000,7,838.948
10000,8,841.323
10000,9,837.831
10000,10,845.374
20000,1,1676.92
20000,2,1678.25
20000,3,1669.52
20000,4,1676.71
20000,5,1670.84
20000,6,1677.2
20000,7,1676.92
20000,8,1673.43
20000,9,1679.64
20000,10,1672.03
50000,1,4329.82
50000,2,4322.48
50000,3,4329.19
50000,4,4328
50000,5,4348.19
50000,6,4329.26
50000,7,4324.16
50000,8,4329.75
50000,9,4334.64
50000,10,4333.52
70000,1,6070.71
70000,2,6058.21
70000,3,6065.68
70000,4,6067.57
70000,5,6073.72
70000,6,6063.73
70000,7,6060.52
70000,8,6063.24
70000,9,6062.19
70000,10,6069.32
100000,1,8668.72
100000,2,8664.52
100000,3,8666.06
100000,4,8665.92
100000,5,8673.88
100000,6,8701.54
100000,7,8701.96
100000,8,8703.85
100000,9,8710.55
100000,10,8712.3
