Rozmiar,Nr,Czas_us
10,1,2.165
10,2,1.606
10,3,1.537
10,4,1.467
10,5,1.467
10,6,1.327
10,7,1.467
10,8,1.467
10,9,1.467
10,10,1.607
100,1,548.823
100,2,6.496
100,3,6.496
100,4,6.356
100,5,6.565
100,6,6.146
100,7,6.286
100,8,6.285
100,9,6.146
100,10,6.146
10000,1,519.628
10000,2,516.626
10000,3,510.549
10000,4,517.463
10000,5,510.758
10000,6,519.209
10000,7,519.489
10000,8,512.575
10000,9,514.949
10000,10,508.244
20000,1,1065.17
20000,2,1065.45
20000,3,1059.02
20000,4,1064.82
20000,5,1066.01
20000,6,1062.51
20000,7,1063.98
20000,8,1063.98
20000,9,1063.77
20000,10,1066.29
50000,1,2478.29
50000,2,2471.38
50000,3,2481.22
50000,4,2469.49
50000,5,2489.47
50000,6,2480.39
50000,7,2491
50000,8,2472.08
50000,9,2478.5
50000,10,2485.49
70000,1,4066.02
70000,2,4023.77
70000,3,4036.69
70000,4,4037.11
70000,5,4028.59
70000,6,4039.48
70000,7,4064.91
70000,8,4040.81
70000,9,4054.92
70000,10,4047.51
100000,1,4827.31
100000,2,4854.4
100000,3,4818.58
100000,4,4816.48
100000,5,4817.81
100000,6,4818.3
100000,7,4836.39
100000,8,4820.04
100000,9,4831.29
100000,10,4840.51
