Rozmiar,Nr,Czas_us
10,1,3.562
10,2,2.235
10,3,1.956
10,4,1.816
10,5,1.886
10,6,1.677
10,7,1.955
10,8,1.746
10,9,1.816
10,10,1.885
100,1,16.902
100,2,15.575
100,3,15.156
100,4,14.877
100,5,14.598
100,6,14.528
100,7,14.528
100,8,16.413
100,9,16.064
100,10,15.575
10000,1,15231.5
10000,2,15250.2
10000,3,15247.6
10000,4,15268.3
10000,5,15493
10000,6,15459.9
10000,7,15464.5
10000,8,15480.6
10000,9,15457.8
10000,10,15492.3
20000,1,63916
20000,2,63837.7
20000,3,64326.2
20000,4,64975.5
20000,5,63995.5
20000,6,64122
20000,7,63694.1
20000,8,64077
20000,9,63865.6
20000,10,63865.8
50000,1,449919
50000,2,449868
50000,3,449933
50000,4,449521
50000,5,449685
50000,6,450977
50000,7,450900
50000,8,450769
50000,9,450927
50000,10,450188
70000,1,893862
70000,2,899907
70000,3,894438
70000,4,893274
70000,5,899605
70000,6,892508
70000,7,895492
70000,8,894205
70000,9,892568
70000,10,893953
100000,1,2.06957e+06
100000,2,2.07998e+06
100000,3,2.06391e+06
100000,4,2.08657e+06
100000,5,2.0653e+06
100000,6,2.07961e+06
100000,7,2.06912e+06
100000,8,2.08176e+06
100000,9,2.06906e+06
100000,10,2.08143e+06
