Rozmiar,Nr,Czas_us
10,1,2.654
10,2,1.886
10,3,1.886
10,4,1.886
10,5,1.676
10,6,1.676
10,7,1.746
10,8,1.816
10,9,2.025
10,10,1.746
100,1,16.692
100,2,15.435
100,3,14.737
100,4,14.527
100,5,14.457
100,6,14.458
100,7,14.108
100,8,15.715
100,9,15.365
100,10,15.016
10000,1,15479.3
10000,2,15487.1
10000,3,15511.8
10000,4,15783.7
10000,5,15734.8
10000,6,15845.9
10000,7,15825.2
10000,8,15800.8
10000,9,15809.9
10000,10,15882.3
20000,1,64271.7
20000,2,64064.5
20000,3,64749.9
20000,4,64945
20000,5,64851
20000,6,64271.1
20000,7,64617.3
20000,8,64462.3
20000,9,64351.7
20000,10,64423.3
50000,1,450213
50000,2,451083
50000,3,451001
50000,4,450583
50000,5,450601
50000,6,451211
50000,7,449897
50000,8,449716
50000,9,451219
50000,10,450171
70000,1,893330
70000,2,893532
70000,3,902420
70000,4,901017
70000,5,897452
70000,6,892565
70000,7,904494
70000,8,914367
70000,9,893628
70000,10,893336
100000,1,2.07461e+06
100000,2,2.07302e+06
100000,3,2.06914e+06
100000,4,2.07607e+06
100000,5,2.06952e+06
100000,6,2.07137e+06
100000,7,2.07302e+06
100000,8,2.07066e+06
100000,9,2.06996e+06
100000,10,2.07042e+06
